customer_id,first_name,last_name,age,state,region,occupation,annual_income,credit_score,customer_segment,risk_tier,account_open_date,is_digital_customer,num_products,is_active
ACB-C000001,Mark,Martinez,38,FL,Southeast,Employed - Part Time,71176.23,682.0,Mass Market,3,2017-07-01,0,1,1
ACB-C000002,Hassan,Nguyen,34,VA,Northeast,Employed - Part Time,48097.22,757.0,Emerging Affluent,2,2015-07-24,1,3,1
ACB-C000003,John,Ahmed,39,IL,Midwest,Government Employee,,651.0,Emerging Affluent,5,2021-03-03,1,3,1
ACB-C000004,Jennifer,Johnson,39,NC,Southeast,Retired,57177.14,735.0,Mass Market,2,2020-06-29,0,2,1
ACB-C000005,Aisha,Jackson,33,CA,West,Unemployed,21416.79,710.0,Mass Market,3,2020-01-03,0,4,1
ACB-C000006,Maria,Ahmed,48,CA,West,Employed - Full Time,29788.96,625.0,Mass Market,3,2018-02-17,1,2,1
ACB-C000007,Linda,Rodriguez,29,TX,South,Unemployed,60875.26,646.0,Mass Market,4,2017-04-19,1,4,1
ACB-C000008,Patricia,Garcia,38,TN,South,Employed - Part Time,42872.53,689.0,Emerging Affluent,2,2016-12-13,0,1,1
ACB-C000009,Jennifer,Martin,38,NC,Southeast,Employed - Full Time,32689.59,706.0,Mass Market,3,2024-06-18,0,4,1
ACB-C000010,Marcus,Singh,41,OH,Midwest,Student,56515.71,724.0,Mass Market,2,2015-09-18,1,2,1
ACB-C000011,Karen,Chen,59,TX,South,Employed - Full Time,28441.88,720.0,Mass Market,2,2015-09-02,1,3,1
ACB-C000012,James,Johnson,54,VA,Northeast,Student,62457.86,578.0,Mass Market,4,2017-02-06,0,2,1
ACB-C000013,Wei,Russo,39,AZ,West,Retired,299651.73,529.0,High Net Worth,5,2019-11-27,0,2,1
ACB-C000014,Mark,Anderson,22,CA,West,Student,39965.53,599.0,Mass Market,3,2020-03-20,0,2,1
ACB-C000015,Kevin,Lee,36,CA,West,Student,75392.96,688.0,Affluent,2,2015-08-06,1,2,1
ACB-C000016,Priya,Anderson,51,CA,West,Self-Employed,134182.25,576.0,Affluent,4,2019-06-17,1,1,1
ACB-C000017,David,Martin,37,FL,Southeast,Retired,23688.62,726.0,Mass Market,1,2024-05-29,1,1,1
ACB-C000018,Charles,Patel,68,GA,Southeast,Employed - Part Time,40038.19,738.0,Emerging Affluent,1,2019-12-11,0,4,1
ACB-C000019,Jennifer,Smith,42,NY,Northeast,Retired,51965.39,746.0,Mass Market,3,2025-01-27,1,3,1
ACB-C000020,Patricia,Nguyen,36,FL,Southeast,Self-Employed,80557.75,765.0,Emerging Affluent,2,2021-03-28,1,1,1
ACB-C000021,Sarah,Martinez,37,NC,Southeast,Government Employee,19855.72,632.0,Mass Market,5,2015-02-23,1,2,1
ACB-C000022,Elena,Lopez,48,TX,South,Student,,691.0,Affluent,2,2018-07-31,0,1,1
ACB-C000023,Diana,Singh,36,FL,Southeast,Unemployed,53576.74,711.0,Mass Market,2,2024-06-24,0,1,1
ACB-C000024,Fatima,Jones,29,FL,Southeast,Retired,80230.97,643.0,Emerging Affluent,3,2022-08-19,1,2,1
ACB-C000025,Karen,Moore,26,NY,Northeast,Self-Employed,48031.29,612.0,Mass Market,3,2021-03-26,1,3,1
ACB-C000026,Aisha,Lee,58,IL,Midwest,Unemployed,123299.32,709.0,Affluent,2,2018-06-27,0,3,1
ACB-C000027,Marcus,Okafor,40,CA,West,Employed - Part Time,68174.2,719.0,Mass Market,2,2019-10-30,1,3,1
ACB-C000028,Mark,Jackson,30,GA,Southeast,,77535.57,704.0,Emerging Affluent,3,2022-07-20,0,1,1
ACB-C000029,Michael,Anderson,42,NC,Southeast,Retired,69747.93,714.0,Mass Market,2,2017-04-17,1,2,1
ACB-C000030,Jessica,Johnson,39,TX,South,Retired,45143.82,678.0,Mass Market,1,2017-01-29,1,3,1
ACB-C000031,Maria,Wilson,54,NC,Southeast,Unemployed,49129.51,625.0,Emerging Affluent,3,2023-07-10,1,2,1
ACB-C000032,David,Williams,71,CA,West,Government Employee,140408.54,733.0,Affluent,1,2017-03-03,1,3,1
ACB-C000033,Patricia,Chen,18,TX,South,Government Employee,25908.2,476.0,Mass Market,5,2023-01-19,0,3,1
ACB-C000034,Angela,Smith,47,VA,Northeast,Student,151476.53,637.0,Affluent,3,2022-09-18,0,2,1
ACB-C000035,Susan,Wilson,42,VA,Northeast,Government Employee,142243.48,605.0,Emerging Affluent,5,2020-12-06,0,2,1
ACB-C000036,Nancy,Hernandez,51,AZ,West,Retired,135778.78,691.0,Affluent,2,2015-12-22,0,2,1
ACB-C000037,Aisha,Anderson,67,FL,Southeast,Student,42656.28,597.0,Mass Market,5,2025-04-21,1,2,1
ACB-C000038,Linda,Taylor,18,TX,South,Government Employee,63652.01,752.0,Mass Market,1,2017-10-19,1,5,1
ACB-C000039,Maria,Davis,49,OH,Midwest,Self-Employed,143941.42,777.0,Affluent,1,2023-06-28,1,5,1
ACB-C000040,Linda,Davis,45,NY,Northeast,Student,114993.15,706.0,Mass Market,1,2016-10-07,1,2,1
ACB-C000041,Diana,Taylor,38,TX,South,Employed - Part Time,43632.12,726.0,Mass Market,2,2021-07-29,1,1,1
ACB-C000042,Susan,Ahmed,39,GA,Southeast,Student,50385.81,729.0,Mass Market,1,2023-02-10,1,3,1
ACB-C000043,Kevin,Rodriguez,40,TX,South,Unemployed,67114.17,711.0,Mass Market,3,2019-04-25,0,1,1
ACB-C000044,Carlos,Lopez,46,TN,South,Retired,43849.39,665.0,Emerging Affluent,2,2016-07-23,0,2,1
ACB-C000045,Carlos,Taylor,44,CA,West,Unemployed,93908.27,748.0,Emerging Affluent,2,2016-01-11,1,3,1
ACB-C000046,James,Singh,33,OH,Midwest,Student,62731.81,660.0,Emerging Affluent,3,2020-02-10,1,1,1
ACB-C000047,Nancy,Smith,36,FL,Southeast,Student,39290.34,759.0,Mass Market,1,2021-06-28,0,2,1
ACB-C000048,Hassan,Williams,42,GA,Southeast,Student,60295.36,665.0,Mass Market,3,2016-10-15,1,5,1
ACB-C000049,Maria,Wilson,27,GA,Southeast,Employed - Part Time,33596.53,589.0,Mass Market,3,2020-03-22,0,2,0
ACB-C000050,Mark,Hernandez,34,CA,West,Unemployed,40328.45,638.0,Mass Market,4,2017-04-07,0,1,1
ACB-C000051,Susan,Jones,29,VA,Northeast,Employed - Part Time,127376.03,703.0,Affluent,2,2023-07-11,1,1,1
ACB-C000052,Daniel,Taylor,43,IL,Midwest,Retired,70988.56,626.0,Emerging Affluent,5,2021-03-27,1,1,1
ACB-C000053,Daniel,Anderson,29,VA,Northeast,Unemployed,33620.58,683.0,Mass Market,3,2025-03-03,1,2,1
ACB-C000054,Carlos,Williams,57,TN,South,Retired,157507.9,604.0,Affluent,5,2023-03-08,0,4,1
ACB-C000055,Robert,Park,30,NC,Southeast,Student,27575.81,744.0,Mass Market,1,2018-08-25,0,3,1
ACB-C000056,Wei,Davis,57,VA,Northeast,Employed - Full Time,37865.02,682.0,Emerging Affluent,3,2023-04-21,0,4,1
ACB-C000057,Jennifer,Anderson,39,TX,South,Unemployed,39408.81,643.0,Mass Market,4,2022-12-20,1,5,1
ACB-C000058,Jennifer,Kim,48,CA,West,Self-Employed,88179.87,781.0,Emerging Affluent,1,2019-09-13,0,1,1
ACB-C000059,Daniel,Jackson,34,TX,South,Student,55553.75,694.0,Mass Market,3,2020-12-27,0,2,1
ACB-C000060,Barbara,Williams,44,FL,Southeast,Government Employee,50216.98,664.0,Mass Market,4,2016-08-07,1,3,1
ACB-C000061,Fatima,Martinez,45,FL,Southeast,,38740.82,630.0,Mass Market,3,2018-11-02,1,2,1
ACB-C000062,James,Martin,24,FL,Southeast,Self-Employed,52071.94,747.0,Mass Market,1,2020-06-28,0,4,1
ACB-C000063,Carlos,Singh,22,AZ,West,Employed - Part Time,41967.88,644.0,Mass Market,3,2018-08-31,1,2,1
ACB-C000064,Kevin,Jackson,18,FL,Southeast,Retired,43158.73,762.0,Mass Market,1,2025-05-14,1,1,1
ACB-C000065,John,Smith,48,FL,Southeast,Employed - Full Time,16131.22,600.0,Mass Market,4,2023-07-06,0,2,1
ACB-C000066,Daniel,Jones,34,GA,Southeast,Government Employee,62559.38,728.0,Emerging Affluent,1,2021-01-20,1,3,1
ACB-C000067,Wei,Lopez,42,CA,West,Retired,20181.66,734.0,Mass Market,1,2019-12-05,0,3,1
ACB-C000068,Barbara,Davis,42,AZ,West,Employed - Part Time,153441.67,705.0,Emerging Affluent,2,2022-04-10,0,3,1
ACB-C000069,Thomas,Patel,30,TX,South,Student,62594.39,649.0,Mass Market,3,2016-04-03,0,5,1
ACB-C000070,Priya,Johnson,38,PA,Northeast,Employed - Part Time,190737.55,513.0,Affluent,5,2020-02-20,1,4,1
ACB-C000071,Nancy,Moore,53,IL,Midwest,Employed - Full Time,114303.93,749.0,Affluent,1,2015-09-20,1,3,1
ACB-C000072,Carlos,Rodriguez,33,CA,West,Student,42976.37,753.0,Mass Market,1,2022-01-28,1,5,1
ACB-C000073,Daniel,Miller,31,TX,South,Unemployed,46421.21,686.0,Emerging Affluent,2,2023-12-31,0,1,1
ACB-C000074,Nancy,Thomas,30,AZ,West,Government Employee,27960.63,586.0,Mass Market,4,2021-01-02,1,3,1
